English title,Original title,Director(s),Production countrie(s)
About Dry Grasses,Kuru Otlar Üstüne,Nuri Bilge Ceylan,Turkey
Anatomy of a Fall,Anatomie d’Une Chute,Justine Triet,France
Asteroid City,Asteroid City,Wes Anderson,United States
Banel & Adama,Banel et Adama,Ramata-Toulaye Sy,Senegal
La Chimera,La Chimera,Alice Rohrwacher,"Italy, France, Switzerland"
Club Zero,Club Zero,Jessica Hausner,"Austria, Denmark, France, Germany, United Kingdom"
Fallen Leaves,Kuolleet lehdet,Aki Kaurismäki,Finland
Firebrand,Firebrand,Karim Aïnouz,United Kingdom
Four Daughters,Les Filles D'olfa,Kaouther Ben Hania,Tunisia
Il sol dell'avvenire,Il sol dell'avvenire,Nanni Moretti,Italy
Kidnapped,Rapito,Marco Bellocchio,Italy
Last Summer,L'été dernier,Catherine Breillat,France
May December,May December,Todd Haynes,United States
Monster,Kaibutsu (怪物),Hirokazu Kore-eda,Japan
The Old Oak,The Old Oak,Ken Loach,United Kingdom
Perfect Days,Perfect Days,Wim Wenders,"Germany, Japan"
The Pot au Feu,La Passion de Dodin Bouffant,Tran Anh Hung,France
Youth (Spring),Qīngchūn (青春),Wang Bing,China
The Zone of Interest,The Zone of Interest,Jonathan Glazer,"United Kingdom, Poland, United States"
The Delinquents,Los Delincuentes,Rodrigo Moreno,Argentina
How to Have Sex,How to Have Sex,Molly Manning Walker,United Kingdom
Goodbye Julia,Goodbye Julia,Mohamed Kordofani,"Sudan, Egypt, Germany, France, Sweden, Saudi Arabia"
The Buriti Flower,Crowrã,"Joao Salaviza, Renée Nader Messora",Brazil
The Nature of Love,Simple Comme Sylvain,Monia Chokri,Canada
The Mother of All Lies,Kadib Abyad,Asmae El Moudir,Morocco
The Settlers,Los Colonos,Felipe Gálvez,"Chile, Argentina"
Omen,Augure,Baloji Tshiani,"Belgium, Democratic Republic of the Congo"
The Breaking Ice,The Breaking Ice,Anthony Chen,Singapore
Rosalie,Rosalie,Stéphanie Di Giusto,France
The New Boy,The New Boy,Warwick Thornton,Australia
If Only I Could Hibernate,If Only I Could Hibernate,Zoljargal Purevdash,Mongolia
Hopeless,Hwaran (화란),Kim Chang-Hoon,South Korea
Terrestrial Verses [fa],آیه‌های زمینی,"Ali Asgari, Alireza Khatami",Iran
Rien à Perdre,Rien à Perdre,Delphine Deloget,France
Les Meutes,Les Meutes,Kamal Lazraq,Morocco
La Regne Animal,La Regne Animal,Thomas Cailley,France
Cobweb,Geomijib (거미집),Kim Jee-woon,South Korea
Indiana Jones and the Dial of Destiny,Indiana Jones and the Dial of Destiny,James Mangold,United States
Killers of the Flower Moon,Killers of the Flower Moon,Martin Scorsese,United States
Jeanne du Barry,Jeanne du Barry,Maïwenn,France
The Idol,The Idol,Sam Levinson,United States
Omar La Fraise,Omar La Fraise,Elias Belkeddar,France
Kennedy,Kennedy,Anurag Kashyap,India
Acide,Acide,Just Philippot,France
Along Came Love,Le Temps d'aimer,Katell Quillévéré,France
"Bonnard, Pierre & Marthe","Bonnard, Pierre & Marthe",Martin Provost,France
Close Your Eyes,Cerrar los ojos,Víctor Erice,"Spain, Argentina"
Kubi,Kubi,Takeshi Kitano,Japan
Pictures of Ghosts,Retratos Fantasmas,Kleber Mendonça Filho,Brazil
Anselm (Das Rauschen Der Zeit),Anselm (Das Rauschen Der Zeit),Wim Wenders,Germany
Occupied City,Occupied City,Steve McQueen,"United States, United Kingdom"
Man in Black,Man in Black,Wang Bing,China
Funny Wars,Funny Wars,Jean-Luc Godard,"France, Switzerland"
Strange Way of Life,Strange Way of Life,Pedro Almodóvar,Spain
